# x_m,y_m,w_tr_right_m,w_tr_left_m
-48.57254,94.78587,5.0,5.0
-47.17823,96.24747,5.0,5.0
-45.74949,97.69654,5.0,5.0
-44.28056,99.12418,5.0,5.0
-42.74681,100.5225,5.0,5.0
-41.15914,101.7958,5.0,5.0
-39.51015,102.9358,5.0,5.0
-37.70793,104.0155,5.0,5.0
-35.92092,104.9398,5.0,5.0
-34.05787,105.7487,5.0,5.0
-32.14915,106.4301,5.0,5.0
-30.22654,106.9908,5.0,5.0
-28.13237,107.4663,5.0,5.0
-26.04459,107.808,5.0,5.0
-23.95468,107.9875,5.0,5.0
-21.87377,108.0091,5.0,5.0
-19.79699,107.8803,5.0,5.0
-17.73939,107.6388,5.0,5.0
-15.70803,107.2909,5.0,5.0
-13.70149,106.8438,5.0,5.0
-11.72147,106.3006,5.0,5.0
-9.772414,105.6731,5.0,5.0
-7.850873,104.9955,5.0,5.0
-5.94194,104.3718,5.0,5.0
-3.906576,103.8287,5.0,5.0
-1.914444,103.3681,5.0,5.0
0.1586602,102.9511,5.0,5.0
2.14668,102.7103,5.0,5.0
4.147189,102.5788,5.0,5.0
6.155519,102.3875,5.0,5.0
8.250525,102.2299,5.0,5.0
10.29348,102.1654,5.0,5.0
12.34819,102.1563,5.0,5.0
14.34755,102.2221,5.0,5.0
16.42387,102.1592,5.0,5.0
18.47561,101.9733,5.0,5.0
20.55087,101.7518,5.0,5.0
22.64553,101.6756,5.0,5.0
24.68358,101.665,5.0,5.0
26.77509,101.583,5.0,5.0
28.87219,101.5458,5.0,5.0
30.95744,101.5344,5.0,5.0
32.97749,101.4271,5.0,5.0
35.04539,101.1933,5.0,5.0
37.02233,100.9008,5.0,5.0
39.02412,100.507,5.0,5.0
41.04669,100.1263,5.0,5.0
43.0489,99.6539,5.0,5.0
45.02957,98.97192,5.0,5.0
46.86867,98.09267,5.0,5.0
48.5499,97.00933,5.0,5.0
50.05719,95.63628,5.0,5.0
51.3147,94.06369,5.0,5.0
52.47806,92.3676,5.0,5.0
53.50809,90.60019,5.0,5.0
54.30587,88.74319,5.0,5.0
54.85109,86.79171,5.0,5.0
55.16377,84.73354,5.0,5.0
55.31776,82.70854,5.0,5.0
55.37404,80.62446,5.0,5.0
55.33302,78.6217,5.0,5.0
55.22667,76.57731,5.0,5.0
55.04363,74.53982,5.0,5.0
54.805,72.53401,5.0,5.0
54.50823,70.43037,5.0,5.0
54.23048,68.36511,5.0,5.0
54.03191,66.33682,5.0,5.0
53.93681,64.21362,5.0,5.0
53.86251,62.13628,5.0,5.0
53.76974,60.08282,5.0,5.0
53.6802,58.06328,5.0,5.0
53.65033,55.95702,5.0,5.0
53.65884,53.88202,5.0,5.0
53.65868,51.83438,5.0,5.0
53.68077,49.82028,5.0,5.0
53.7152,47.72712,5.0,5.0
53.74485,45.71064,5.0,5.0
53.7727,43.65688,5.0,5.0
53.80178,41.58435,5.0,5.0
53.83257,39.50485,5.0,5.0
53.86471,37.4338,5.0,5.0
53.83998,35.08987,5.0,5.0
