#, ,x,_,m,|,|,y,_,m,|,|,w,_,t,r,_,r,i,g,h,t,_,m,|,|,w,_,t,r,_,l,e,f,t,_,m
53.83998,35.08987,6.0,6.0
53.84045,33.0373,6.0,6.0
53.84062,31.00158,6.0,6.0
53.838,28.95679,6.0,6.0
53.83218,26.9242,6.0,6.0
53.82734,24.85976,6.0,6.0
53.87297,22.78736,6.0,6.0
53.92623,20.76981,6.0,6.0
53.96581,18.73927,6.0,6.0
54.01905,16.65834,6.0,6.0
54.14199,14.65269,6.0,6.0
54.26471,12.5642,6.0,6.0
54.35113,10.4791,6.0,6.0
54.39323,8.420476,6.0,6.0
54.38171,6.417628,6.0,6.0
54.29959,4.35395,6.0,6.0
54.07382,2.261268,6.0,6.0
53.75903,0.259524,6.0,6.0
53.35128,-1.75168,6.0,6.0
52.82637,-3.773296,6.0,6.0
52.15512,-5.723729,6.0,6.0
51.32339,-7.598162,6.0,6.0
50.2485,-9.272693,6.0,6.0
48.86179,-10.7453,6.0,6.0
47.20793,-11.86736,6.0,6.0
45.30838,-12.61039,6.0,6.0
43.33969,-13.0393,6.0,6.0
41.30851,-13.25669,6.0,6.0
39.24647,-13.31626,6.0,6.0
37.25325,-13.22728,6.0,6.0
35.25426,-13.03048,6.0,6.0
33.13187,-12.7271,6.0,6.0
31.06569,-12.38966,6.0,6.0
29.09205,-12.0643,6.0,6.0
27.07042,-11.69576,6.0,6.0
25.0475,-11.25297,6.0,6.0
23.02714,-10.73537,6.0,6.0
21.00509,-10.18428,6.0,6.0
18.97264,-9.617866,6.0,6.0
16.94983,-9.017228,6.0,6.0
14.96993,-8.357965,6.0,6.0
13.03975,-7.628412,6.0,6.0
11.1687,-6.834287,6.0,6.0
9.368822,-5.943431,6.0,6.0
7.510129,-4.851129,6.0,6.0
5.794705,-3.615033,6.0,6.0
4.220772,-2.267324,6.0,6.0
2.778756,-0.8309172,6.0,6.0
1.409749,0.8105671,6.0,6.0
0.338773,2.551711,6.0,6.0
-0.4027061,4.486016,6.0,6.0
-0.7199788,6.535443,6.0,6.0
-0.8087735,8.678185,6.0,6.0
-0.8915195,10.8028,6.0,6.0
-0.82448,12.90443,6.0,6.0
-0.4725117,14.9879,6.0,6.0
0.1968464,16.99162,6.0,6.0
1.089139,18.78376,6.0,6.0
2.164291,20.57917,6.0,6.0
3.249137,22.2622,6.0,6.0
4.434378,23.88919,6.0,6.0
5.745143,25.41266,6.0,6.0
7.135266,26.87744,6.0,6.0
8.531718,28.38287,6.0,6.0
9.930273,29.93438,6.0,6.0
11.332,31.53226,6.0,6.0
12.61473,33.09758,6.0,6.0
13.80959,34.75943,6.0,6.0
14.90538,36.52735,6.0,6.0
15.87324,38.39345,6.0,6.0
16.65455,40.36369,6.0,6.0
17.2115,42.41529,6.0,6.0
17.51479,44.53632,6.0,6.0
17.58221,46.56296,6.0,6.0
17.5134,48.61444,6.0,6.0
17.27197,50.67226,6.0,6.0
